X,Y,DataZone,OBJECTID,Name,TotPop2011,ResPop2011,HHCnt2011,Easting,Northing,SIMD2020v2_Rank,deciles
-2.07982903480452,57.1315914118752,S01006633,"128",Torry East - 03,"699","699","288","395267","804524",657,"1"
-2.07413605761966,57.1346401974391,S01006634,"129",Torry East - 04,"634","634","291","395612","804863",417,"1"
-2.09127489000485,57.1648654024982,S01006667,"162",Seaton - 02,"741","737","447","394579","808229",552,"1"
-2.1238797126932,57.1697335233315,S01006684,"179",Woodside - 04,"684","684","401","392608","808774",268,"1"
-2.15932673911499,57.1683107056843,S01006724,"219",Northfield - 06,"1005","1005","343","390464","808620",616,"1"
-1.77826551013877,57.5067508744655,S01007086,"581",Peterhead Harbour - 06,"1132","1118","573","413386","846307",633,"1"
-2.01817564386146,57.6930396135324,S01007126,"621",Fraserburgh Harbour and Broadsea - 02,"927","919","399","399016","867025",569,"1"
-2.58537392079219,56.5574859885738,S01007186,"681",Arbroath Harbour - 03,"593","593","327","364117","740767",239,"1"
-2.58366981417003,56.5683197066923,S01007199,"694",Arbroath Warddykes - 03,"804","804","306","364232","741972",351,"1"
-5.46598721076382,56.4084674179195,S01007295,"790",Oban South - 07,"520","520","307","186261","729418",609,"1"
-5.0621497584414,55.8369258337611,S01007345,"840",Rothesay Town - 02,"595","595","315","208342","664654",597,"1"
-5.05757767717158,55.8360688015347,S01007346,"841",Rothesay Town - 03,"543","533","351","208624","664546",558,"1"
-4.92495301258698,55.9531972371708,S01007366,"861",Dunoon - 01,"465","465","276","217478","677217",189,"1"
-4.93507897029764,55.9551045687385,S01007368,"863",Dunoon - 03,"541","541","233","216855","677456",695,"1"
-4.71218922881474,56.0028289364004,S01007399,"894",Helensburgh East - 02,"642","642","324","230975","682197",294,"1"
-3.84221472010035,56.1332972804281,S01007411,"906",Tullibody South - 03,"895","895","437","285603","694927",553,"1"
-3.82469817397261,56.1351568549756,S01007416,"911",Tullibody North and Glenochil - 02,"595","595","223","286697","695105",464,"1"
-3.78488904679227,56.1199681226358,S01007461,"956",Alloa South and East - 01,"680","680","372","289127","693350",141,"1"
-3.78029169835222,56.1137712556485,S01007463,"958",Alloa South and East - 03,"988","988","377","289395","692653",140,"1"
-3.78501056860479,56.1118250613326,S01007464,"959",Alloa South and East - 04,"686","686","313","289096","692444",514,"1"
-3.78898434677399,56.1090807210335,S01007465,"960",Alloa South and East - 05,"785","785","380","288841","692145",6,"1"
-3.79242269151705,56.1138563171159,S01007466,"961",Alloa South and East - 06,"984","984","581","288641","692682",221,"1"
-5.03517355829337,54.9009810169432,S01007485,"980",Stranraer West - 05,"481","481","219","205488","560469",81,"1"
-5.03109289721791,54.9021078493717,S01007486,"981",Stranraer West - 06,"540","540","255","205755","560583",152,"1"
-5.02534330928237,54.9026198501841,S01007487,"982",Stranraer East - 01,"903","893","498","206126","560624",691,"1"
-3.98778746259827,55.3798332361476,S01007554,"1049",Upper Nithsdale - 03,"435","435","221","274151","611338",478,"1"
-3.64091463640636,55.0858400939985,S01007575,"1070",Lochside and Lincluden - 02,"860","854","452","295357","578052",542,"1"
-3.63684299582225,55.0824348301511,S01007576,"1071",Lochside and Lincluden - 03,"718","718","344","295608","577667",188,"1"
-3.63507360532744,55.07784817726,S01007577,"1072",Lochside and Lincluden - 04,"688","688","296","295709","577154",455,"1"
-3.6331542742059,55.0822596793186,S01007578,"1073",Lochside and Lincluden - 05,"692","692","332","295843","577642",470,"1"
-3.63346952515869,55.08691979735,S01007579,"1074",Lochside and Lincluden - 06,"663","663","298","295835","578161",651,"1"
-3.61919622760554,55.0741329098921,S01007583,"1078",Summerville - 02,"1056","1048","519","296713","576717",373,"1"
-3.60763172899169,55.0681478782508,S01007612,"1107",Dumfries Central - 04,"1044","1037","609","297436","576034",392,"1"
-2.98970394356834,56.463264750736,S01007701,"1196",City Centre - 01,"535","535","318","339113","730565",93,"1"
-2.97393885947033,56.4655367902332,S01007704,"1199",City Centre - 04,"907","907","517","340088","730804",284,"1"
-2.95130290469997,56.4676802999336,S01007708,"1203",Docks and Wellgate - 02,"644","644","357","341486","731023",594,"1"
-2.97387536715992,56.4693916400609,S01007715,"1210",Hilltown - 02,"516","516","267","340098","731233",432,"1"
-2.9759447646476,56.4690698784683,S01007716,"1211",Hilltown - 03,"1041","967","598","339970","731199",513,"1"
-2.97592469950631,56.4720798848265,S01007717,"1212",Hilltown - 04,"1003","997","567","339976","731534",234,"1"
-2.979788924357,56.4746279944997,S01007718,"1213",Hilltown - 05,"689","689","467","339742","731821",530,"1"
-2.96357936139301,56.4755905964633,S01007722,"1217",The Glens - 03,"840","840","548","340742","731914",344,"1"
-2.96891238274039,56.4765463384947,S01007723,"1218",The Glens - 04,"952","952","604","340415","732025",233,"1"
-2.96863556078808,56.4726941072617,S01007724,"1219",The Glens - 05,"648","643","358","340426","731596",181,"1"
-2.97522884518819,56.4759577416846,S01007725,"1220",The Glens - 06,"773","773","498","340025","731965",352,"1"
-2.96371515893159,56.4726246470006,S01007726,"1221",Stobswell - 01,"786","786","453","340729","731584",496,"1"
-2.96223686856457,56.468736868444,S01007727,"1222",Stobswell - 02,"1023","1007","591","340814","731150",582,"1"
-2.91900732584392,56.4785792931813,S01007744,"1239",Douglas West - 02,"766","766","403","343492","732209",357,"1"
-2.90704201973117,56.4813085929902,S01007748,"1243",Douglas West - 06,"704","704","369","344233","732503",259,"1"
-2.90341867046139,56.4777861897107,S01007754,"1249",Douglas East - 02,"884","884","414","344451","732108",557,"1"
-2.90143286877626,56.4803072266399,S01007755,"1250",Douglas East - 03,"877","877","417","344577","732387",434,"1"
-2.91340392981511,56.4899587915611,S01007782,"1277",Whitfield - 01,"499","499","239","343854","733471",663,"1"
-2.92278547486873,56.4864035512751,S01007783,"1278",Whitfield - 02,"782","782","405","343271","733083",261,"1"
-2.93147213521929,56.4896718531485,S01007785,"1280",Whitfield - 04,"603","603","276","342741","733454",213,"1"
-2.92835641341779,56.4930912393661,S01007788,"1283",Whitfield - 07,"708","708","268","342938","733832",366,"1"
-2.92641191922146,56.4939412966585,S01007789,"1284",Whitfield - 08,"624","624","231","343059","733925",487,"1"
-2.93482259311582,56.4944981687661,S01007790,"1285",Whitfield - 09,"895","895","330","342542","733994",145,"1"
-2.93978671447779,56.4876865426074,S01007793,"1288",Fintry - 03,"959","959","457","342226","733240",573,"1"
-2.95568373791175,56.4882749055727,S01007797,"1292",Fintry - 07,"522","522","258","341248","733319",144,"1"
-2.94242889206614,56.484216532987,S01007800,"1295",Linlathen and Midcraigie - 01,"956","913","365","342058","732856",194,"1"
-2.94161305437694,56.4807816920026,S01007801,"1296",Linlathen and Midcraigie - 02,"973","833","388","342103","732473",10,"1"
-2.93076655066106,56.4794350144937,S01007803,"1298",Linlathen and Midcraigie - 04,"1087","1087","524","342769","732314",115,"1"
-2.93198548227167,56.4808094649934,S01007804,"1299",Linlathen and Midcraigie - 05,"627","627","259","342696","732468",197,"1"
-2.93470201159612,56.4823343585866,S01007805,"1300",Linlathen and Midcraigie - 06,"520","520","207","342531","732640",544,"1"
-2.98917274740966,56.4889918223935,S01007810,"1305",Caird Park - 04,"883","883","369","339187","733428",390,"1"
-2.97928003127426,56.4901573769977,S01007812,"1307",Kirkton - 02,"850","850","328","339798","733549",61,"1"
-3.00307562141714,56.4761311356559,S01007826,"1321",Fairmuir - 04,"598","573","260","338310","732009",378,"1"
-3.04078679155754,56.4695679130703,S01007842,"1337",Menzieshill - 04,"770","770","391","335976","731313",245,"1"
-3.04819121947701,56.4667294560294,S01007844,"1339",Menzieshill - 06,"935","935","520","335515","731004",526,"1"
-3.03094891850974,56.4742949032766,S01007845,"1340",Charleston - 01,"903","903","427","336590","731830",380,"1"
-3.03897896834551,56.4752791682,S01007847,"1342",Charleston - 03,"917","917","437","336097","731947",551,"1"
