X,Y,SA2011,SOA2011,X_COORD,Y_COORD,Hectares,LGD2014NAME,2015 Default Urban/Rural,SOA2001_name,"Multiple Deprivation Measure Rank 
(where 1 is most deprived)","Income Domain Rank 
(where 1 is most deprived)",Employment Domain Rank (where 1 is most deprived),Health Deprivation and Disability Domain Rank (where 1 is most deprived),"Education, Skills and Training Domain Rank (where 1 is most deprived)",Access to Services Domain Rank (where 1 is most deprived),Living Environment Domain Rank (where 1 is most deprived),Crime and Disorder Domain Rank (where 1 is most deprived),IMDdeciles
-6.18699415574249,54.7133428888498,N00000064,95AA10W1,316893,386545,6.96641,Antrim and Newtownabbey,Urban,Greystone,150,249,368,518,82,2742,2977,26,"1"
-6.18715650120747,54.710236120153,N00000069,95AA10W1,316892,386199,9.67199,Antrim and Newtownabbey,Urban,Greystone,79,187,195,90,448,1434,3258,8,"1"
-6.20244930430813,54.7210326336794,N00000106,95AA16W1,315876,387375,6.07825,Antrim and Newtownabbey,Urban,Steeple,430,1130,594,218,195,3078,3452,337,"1"
-6.1938711581979,54.7182252945968,N00000117,95AA17W1,316436,387077,5.1755,Antrim and Newtownabbey,Urban,Stiles,166,943,172,8,294,2708,3270,388,"1"
-6.4652358299814,54.7499240470357,N00000129,95AA19W1,298874,390189,54.1983,Antrim and Newtownabbey,Rural,Toome,92,895,45,95,121,1181,2366,1367,"1"
-5.54777605449582,54.6388078261828,N00000219,95BB11S1,358372,379502,8.13165,Ards and North Down,Urban,Donaghadee South_1,374,139,468,1160,692,2155,4073,1583,"1"
-5.54337572828018,54.6385311465752,N00000220,95BB11S1,358658,379481,3.67036,Ards and North Down,Urban,Donaghadee South_1,233,359,460,279,154,2008,2942,969,"1"
-5.69722808656837,54.5966214225234,N00000234,95BB12S1,348879,374480,3.09711,Ards and North Down,Urban,Glen_1,238,184,455,582,156,4425,1162,1396,"1"
-5.66712590722269,54.5882912635429,N00000240,95BB13S1,350855,373617,15.4698,Ards and North Down,Urban,Gregstown_1,189,134,519,813,60,2240,3857,919,"1"
-5.52949327683356,54.6066679251829,N00000287,95BB18S1,359678,375967,5.5399,Ards and North Down,Rural,Millisle_1,386,260,473,830,824,2129,1789,793,"1"
-5.70594484114896,54.5803610748416,N00000332,95BB22S2,348375,372652,4.88248,Ards and North Down,Urban,Scrabo_2,195,129,421,957,112,1808,4050,948,"1"
-5.70320152453468,54.5791236673491,N00000333,95BB22S2,348557,372520,6.85781,Ards and North Down,Urban,Scrabo_2,309,1283,284,342,200,1730,1218,393,"1"
-6.67375940457975,54.3452689685434,N00000356,95CC03W1,286297,344873,22.2985,"Armagh City, Banbridge and Craigavon",Urban,Callan Bridge,454,549,530,314,859,3336,1049,759,"1"
-6.67714773049667,54.3517454500433,N00000358,95CC03W1,286063,345590,22.768,"Armagh City, Banbridge and Craigavon",Urban,Callan Bridge,371,175,568,776,839,2751,1505,801,"1"
-6.65498000535671,54.3478616916459,N00000359,95CC03W1,287513,345185,30.9775,"Armagh City, Banbridge and Craigavon",Urban,Callan Bridge,205,180,357,788,509,3768,181,81,"1"
-6.67326691983578,54.2161592302506,N00000365,95CC04W1,286599,330503,403.096,"Armagh City, Banbridge and Craigavon",Rural,Carrigatuke,365,44,1256,1623,1651,650,194,2047,"1"
-6.65577020515674,54.3547581614651,N00000448,95CC18W1,287447,345951,8.85598,"Armagh City, Banbridge and Craigavon",Urban,Observatory,359,408,497,395,553,3824,349,1217,"1"
-6.64369590068021,54.3480389151942,N00000475,95CC22W1,288246,345218,6.80341,"Armagh City, Banbridge and Craigavon",Urban,The Mall,433,56,884,1441,1257,4344,886,638,"1"
-6.2862448520787,54.8653451161291,N00000478,95DD01W1,310084,403303,8.20598,Mid and East Antrim,Urban,Academy,380,75,774,1500,955,3805,564,568,"1"
