"lsoa11","rgn"
"E01023743","E12000006"
"E01023667","E12000006"
"E01023741","E12000006"
"E01023684","E12000006"
"E01023726","E12000006"
"E01023682","E12000006"
"E01023727","E12000006"
"E01023740","E12000006"
"E01023683","E12000006"
"E01023729","E12000006"
"E01023744","E12000006"
"E01023737","E12000006"
"E01023738","E12000006"
"E01023739","E12000006"
"E01023676","E12000006"
"E01023716","E12000006"
"E01023728","E12000006"
"E01023675","E12000006"
"E01023715","E12000006"
"E01023714","E12000006"
"E01023673","E12000006"
"E01023674","E12000006"
"E01023665","E12000006"
"E01023681","E12000006"
"E01023678","E12000006"
"E01023666","E12000006"
"E01023920","E12000006"
"E01033311","E12000006"
"E01023930","E12000006"
"E01023929","E12000006"
"E01023921","E12000006"
"E01023927","E12000006"
"E01023926","E12000006"
"E01023922","E12000006"
"E01023938","E12000006"
"E01023924","E12000006"
"E01023936","E12000006"
"E01023923","E12000006"
"E01023932","E12000006"
"E01023937","E12000006"
"E01023964","E12000006"
"E01023933","E12000006"
"E01023934","E12000006"
"E01023935","E12000006"
"E01023963","E12000006"
"E01023925","E12000006"
"E01033314","E12000006"
"E01033308","E12000006"
"E01033313","E12000006"
"E01033310","E12000006"
"E01033029","E12000006"
"E01023704","E12000006"
"E01023708","E12000006"
"E01023706","E12000006"
"E01023584","E12000006"
"E01023583","E12000006"
"E01023705","E12000006"
"E01033028","E12000006"
"E01023731","E12000006"
"E01023719","E12000006"
"E01023721","E12000006"
"E01023717","E12000006"
"E01023718","E12000006"
"E01023720","E12000006"
"E01023732","E12000006"
"E01023526","E12000006"
"E01023730","E12000006"
"E01023733","E12000006"
"E01023722","E12000006"
"E01023742","E12000006"
"E01023745","E12000006"
"E01023713","E12000006"
"E01023670","E12000006"
"E01023672","E12000006"
"E01023669","E12000006"
"E01023671","E12000006"
"E01023736","E12000006"
"E01023749","E12000006"
"E01023696","E12000006"
"E01023723","E12000006"
"E01023431","E12000006"
"E01023724","E12000006"
"E01023725","E12000006"
"E01023432","E12000006"
"E01023430","E12000006"
"E01023433","E12000006"
"E01017561","E12000006"
"E01023677","E12000006"
"E01023712","E12000006"
"E01023668","E12000006"
"E01023664","E12000006"
"E01023680","E12000006"
"E01023679","E12000006"
"E01023747","E12000006"
"E01023748","E12000006"
"E01023746","E12000006"
"E01023626","E12000006"
"E01023710","E12000006"
"E01023734","E12000006"
"E01023735","E12000006"
"E01023709","E12000006"
"E01023711","E12000006"
"E01023697","E12000006"
"E01023686","E12000006"
"E01023701","E12000006"
"E01023698","E12000006"
"E01023703","E12000006"
"E01023695","E12000006"
"E01023700","E12000006"
"E01023699","E12000006"
"E01023690","E12000006"
"E01023691","E12000006"
"E01023694","E12000006"
"E01017564","E12000006"
"E01023689","E12000006"
"E01023692","E12000006"
"E01023693","E12000006"
"E01023688","E12000006"
"E01023685","E12000006"
"E01023702","E12000006"
"E01023687","E12000006"
"E01023486","E12000006"
"E01023971","E12000006"
"E01023968","E12000006"
"E01023965","E12000006"
"E01023962","E12000006"
"E01023954","E12000006"
"E01023966","E12000006"
"E01023467","E12000006"
"E01023967","E12000006"
"E01023485","E12000006"
"E01023950","E12000006"
"E01023627","E12000006"
"E01023969","E12000006"
"E01023970","E12000006"
"E01023959","E12000006"
"E01023919","E12000006"
"E01023595","E12000006"
"E01023912","E12000006"
"E01023958","E12000006"
"E01023915","E12000006"
"E01023914","E12000006"
"E01023944","E12000006"
"E01023943","E12000006"
"E01023913","E12000006"
"E01023951","E12000006"
"E01023952","E12000006"
"E01023953","E12000006"
"E01023956","E12000006"
"E01023955","E12000006"
"E01023957","E12000006"
"E01023945","E12000006"
"E01023939","E12000006"
"E01023940","E12000006"
"E01023942","E12000006"
"E01023946","E12000006"
"E01023941","E12000006"
"E01023918","E12000006"
"E01023917","E12000006"
"E01023916","E12000006"
"E01023961","E12000006"
"E01023960","E12000006"
"E01023910","E12000006"
"E01023909","E12000006"
"E01023908","E12000006"
"E01023911","E12000006"
"E01033625","E12000005"
"E01033616","E12000005"
"E01033615","E12000005"
"E01033620","E12000005"
"E01008910","E12000005"
"E01033557","E12000005"
"E01033624","E12000005"
"E01033627","E12000005"
"E01033565","E12000005"
"E01033622","E12000005"
"E01009146","E12000005"
"E01033619","E12000005"
"E01009141","E12000005"
"E01033623","E12000005"
"E01009363","E12000005"
"E01009379","E12000005"
"E01009338","E12000005"
"E01033650","E12000005"
"E01009339","E12000005"
"E01009329","E12000005"
"E01009198","E12000005"
"E01009337","E12000005"
"E01008889","E12000005"
"E01009335","E12000005"
"E01009380","E12000005"
